Quarterly Report,06/30/2025,03/31/2025,12/31/2024,09/30/2024,06/30/2024,03/31/2024,12/31/2023,09/30/2023,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005
Net Incoe Starting Line,27.233,25.824,24.108,24.667,22.036,21.939,21.87,22.291,20.081,18.299,16.425,17.556,16.74,16.728,18.765,20.505,16.458,15.457,15.463,13.893,11.202,10.752,11.649,10.678,13.187,8.809,8.42,8.824,8.873,7.424,-6.302,6.576,8.069,5.486,6.267,5.667,6.863,3.756,5.018,4.902,-3.195,4.985,5.863,4.54,4.612,5.66,6.558,5.244,4.965,6.055,6.377,4.466,-492,5.108,6.624,5.738,5.874,5.232,6.634,5.41,4.518,4.006,6.662,3.574,3.045,2.977,4.174,4.373,4.297,4.388,4.707,4.289,3.035,4.926,2.626,3.478,2.828,2.977,3.653,3.141
Change in Cash,1.414,11.346,-3.358,2.525,-1.319,2.329,-63.147,45.748,8.142,10.916,-7.238,8.953,1.433,-8.106,1.439,4.941,522,-730,-2.773,3.629,1.866,2.846,-4.253,1.761,144,4.574,-8.499,3.191,2.725,-3.638,5.975,-779,950,-1.755,-5.46,7.418,-660,-15,1.754,-164,-1.819,988,124,-2.367,-2.903,1.513,6.036,219,-1.436,-777,981,-1.902,550,-4.222,-2.271,3.271,2.589,2.998,-4.138,2.656,-2.65,-1.267,599,2.747,-1.209,-1.061,-658,-1.335,-1.481,4.36,823,526,-1.5,752,-2.217,2.362,2.363,268,1.109,-1.877
Cash fro Operations,42.647,37.044,22.291,34.18,37.195,31.917,18.853,30.583,28.77,24.441,11.173,23.198,24.629,25.386,14.48,24.54,22.71,22.179,12.516,19.335,18.673,17.504,10.68,13.818,16.108,13.52,8.9,13.657,11.418,12.151,7.875,12.44,11.005,10.66,6.293,11.549,8.464,10.367,5.618,8.876,6.261,10.125,4.34,8.354,9.514,10.099,4.413,8.205,5.903,9.666,4.78,8.484,7.677,9.594,5.862,8.493,5.942,8.672,4.186,8.194,5.604,7.393,4.969,6.107,3.841,6.044,5.782,3.37,4.085,7.082,4.567,5.878,4.402,7.291,2.042,4.061,3.281,4.563,2.231,4.329
   Depreciation & Aortization,11.203,8.74,6.827,7.383,6.38,6.027,5.959,3.921,3.874,3.549,3.648,2.79,3.979,3.773,3.496,3.212,3.344,2.936,2.761,2.645,3.504,3.118,3.203,2.971,2.924,2.926,2.995,2.837,2.516,2.71,2.536,2.499,2.343,2.453,2.166,1.816,1.91,1.707,1.544,1.461,1.493,1.515,1.521,1.428,1.742,1.255,1.261,954,983,1.053,1.009,710,797,766,678,726,689,720,663,694,718,694,615,646,681,664,632,585,608,532,481,435,381,445,365,249,261,177,231,234
   Sale Purchase of Stock,-3.998,-4.235,-4.73,-3.401,-3.676,-3.691,-3.739,-4.146,-5.192,-4.973,-5.216,-4.998,-8.296,-8.345,-7.142,-7.072,-6.727,-6.534,-6.233,-6.198,-5.451,-6.717,-4.972,-4.485,-4.325,-4.479,-6.213,-3.384,-2.107,-3.53,-1.819,-2.263,-1.544,-1.883,-3.468,-4.121,-3.504,-3.698,-3.561,-4.538,-4.128,-4.985,-2.024,-2.672,-1.024,-1.704,-1.996,-1.985,-876,-825,-1.513,-1.215,-752,68,-834,-1.598,-1.076,557,-4.392,-4.222,-2.927,-1.601,-3.138,-1.292,121,94,-2.724,-6.265,-4.061,-972,-1.722,-2.284,-6.053,-6.094,-1.348,-7.298,-3.789,-4.233,-6.969,-2.115
   Change in Working Capital,3.303,2.042,-11.551,856,7.184,2.522,-10.3,2.418,4.243,1.843,-10.347,1.873,1.473,3.072,-9.554,5.455,1.786,2.7,-6.903,1.48,2.25,2.45,-5.256,-927,4.852,1.028,-3.39,1.376,1.973,1.882,13.644,2.968,1.29,2.712,-2.26,3.134,-2.894,2.953,-2.046,2.597,-3.807,3.308,-2.495,4.507,-2.38,2.798,-3.115,3.321,-4.857,3.704,-3.616,3.394,-4.803,3.346,-1.4,2.683,-5.653,2.775,-2.85,2.725,-2.365,2.843,-940,1.123,-2.605,2.605,363,-541,-4.549,2.014,-1.764,1.864,-1.412,2.256,-2.596,791,-2.599,1.333,-2.297,1.166
Cash fro Financing,-10.844,-13.036,-11.243,-16.576,-23.563,-18.808,-10.147,14.761,-11.413,-10.29,-11.349,-10.883,-13.269,-17.345,-11.986,-16.276,-11.371,-13.192,-13.634,-10.289,-12.262,-14.645,-8.915,-10.209,-8.686,-7.601,-13.216,-7.384,-6.039,-19.658,-1.552,-6.341,-2.701,-6.236,3.016,14.329,971,-4.916,-518,-3.93,-3.016,-3.62,534,-2.978,-3.309,-4.304,2.615,-3.396,-1.469,-2.744,-1.221,-2.714,-2.421,-1.605,-2.513,-2.869,-2.423,1.437,-6.751,-639,-4.098,-2.726,-4.277,-2.19,2.699,-1.06,-3.858,-5.244,-5.072,-1.986,-2.723,-3.153,-6.983,-7.063,-2.323,-8.175,-4.684,-5.135,-7.802,-2.941
   Other Cashflows fro Financing,-677,-382,-343,-889,-303,-498,-201,-307,-167,-258,-317,-264,-341,-158,-192,-172,-430,-1.937,79,-235,-2.946,-1.052,-39,286,160,404,-459,-780,-25,-640,-156,-150,-15,-375,312,-112,-3,-123,-65,-178,349,-208,307,502,24,22,-19,205,23,6,-7,177,9,10,4,70,3,-10,4,-20,17,14,15,9,-15,2,2,44,9,9,33,69,22,7,5,20,22,23,13,31
   Total Dividends Paid,-6.169,-6.169,-6.17,-5.574,-5.574,-5.572,-5.574,-5.051,-5.054,-5.059,-5.066,-4.621,-4.632,-4.645,-4.652,-4.206,-4.214,-4.221,-4.23,-3.856,-3.865,-3.876,-3.886,-3.51,-3.521,-3.526,-3.544,-3.22,-3.226,-3.232,-3.238,-3.003,-3.009,-3.012,-3.024,-2.8,-2.821,-2.842,-2.868,-2.475,-2.496,-2.532,-2.547,-2.307,-2.309,-2.322,-2.332,-1.916,-1.921,-1.925,-1.933,-1.676,-1.678,-1.683,-1.683,-1.341,-1.35,-1.349,-1.363,-1.118,-1.13,-1.139,-1.152,-1.157,-1.158,-1.155,-1.157,-998,-1.02,-1.023,-1.034,-938,-952,-976,-980,-897,-917,-925,-846,-857
   Net Det Issuance,0,-2.25,0,-6.712,-14.01,-9.047,-633,24.265,-1,0,-750,-1,0,-4.197,0,-4.826,0,-500,-3.25,0,0,-3,-18,-2.5,-1,0,-3,0,-681,-12.256,3.661,-925,1.867,-966,9.196,21.362,7.299,1.747,5.976,3.261,3.259,4.105,4.798,1.499,0,-300,6.962,300,1.305,0,2.232,-,0,0,0,0,0,2.239,-1,4.721,-58,0,-2,250,3.751,-1,21,1.975,0,0,0,0,-,-,-,-,-,-,-,-
