Quarterly Report,06/30/2025,03/31/2025,12/31/2024,09/30/2024,06/30/2024,03/31/2024,12/31/2023,09/30/2023,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005
Revenue,76.441,70.066,69.632,65.585,64.727,61.858,62.02,56.517,56.189,52.857,52.747,50.122,51.865,49.36,51.728,45.317,46.152,41.706,43.076,37.154,38.033,35.021,36.906,33.055,33.717,30.571,32.471,29.084,30.085,26.819,28.918,24.538,25.605,23.212,25.826,21.928,26.448,20.531,23.796,20.379,22.18,21.729,26.47,23.201,23.382,20.403,24.519,18.529,19.896,20.489,21.456,16.008,18.059,17.407,20.885,17.372,17.367,16.428,19.953,16.195,16.039,14.503,19.022,12.92,13.099,13.648,16.629,15.061,15.837,14.454,16.367,13.762,13.371,14.398,12.542,10.811,11.804,10.9,11.837,9.741
Cost of Goods Sold,24.014,21.919,21.799,20.099,19.684,18.505,19.623,16.302,16.795,16.128,17.488,15.452,16.429,15.615,16.96,13.646,13.991,13.045,14.194,11.002,12.339,10.975,12.358,10.406,10.412,10.17,12.423,9.905,9.742,9.269,11.064,8.278,8.456,8.06,9.901,7.844,7.979,7.722,9.872,7.207,7.468,7.161,10.136,8.273,7.633,5.978,8.322,5.145,5.738,4.787,5.692,4.168,4.163,3.952,5.638,3.777,3.708,3.897,4.833,3.139,3.17,2.755,3.628,2.842,2.586,2.814,3.907,2.848,2.866,2.514,3.543,2.675,3.237,2.14,3.62,1.696,2.13,2.028,2.239,1.253
Gross Profit,52.427,48.147,47.833,45.486,45.043,43.353,42.397,40.215,39.394,36.729,35.259,34.67,35.436,33.745,34.768,31.671,32.161,28.661,28.882,26.152,25.694,24.046,24.548,22.649,23.305,20.401,20.048,19.179,20.343,17.55,17.854,16.26,17.149,15.152,15.925,14.084,18.469,12.809,13.924,13.172,14.712,14.568,16.334,14.928,15.749,14.425,16.197,13.384,14.158,15.702,15.764,11.84,13.896,13.455,15.247,13.595,13.659,12.531,15.12,13.056,12.869,11.748,15.394,10.078,10.513,10.834,12.722,12.213,12.971,11.94,12.824,11.087,10.134,12.258,8.922,9.115,9.674,8.872,9.598,8.488
Total Operating Expenses,18.104,16.147,16.18,14.934,17.118,15.772,15.365,13.32,15.14,14.377,13.689,13.152,14.902,13.381,12.521,11.433,13.066,11.613,10.985,10.276,12.287,11.071,10.657,9.963,10.9,10.06,9.79,9.224,9.964,9.258,9.175,8.552,9.161,8.429,8.02,7.369,8.383,7.526,7.898,7.379,8.327,7.784,8.315,7.944,9.14,7.451,8.228,7.05,8.085,8.09,7.993,6.532,7.511,7.081,7.253,6.392,7.488,6.822,6.955,5.94,6.939,6.575,6.881,5.596,6.486,6.106,6.783,6.214,7.292,7.65,6.371,5.238,6.128,5.373,5.339,4.554,5.385,4.587,4.875,3.993
   SG&A Expense,9.275,7.949,8.263,7.39,9.062,8.119,8.223,6.661,8.401,7.393,6.845,6.524,8.053,7.075,6.763,5.834,7.379,6.409,6.086,5.35,7.073,6.184,6.054,5.398,6.387,5.744,5.72,5.247,6.031,5.543,5.671,4.978,5.647,5.074,4.958,4.263,5.237,4.546,4.998,4.417,5.233,4.8,5.412,4.879,6.017,4.708,5.48,4.283,5.302,5.45,5.465,4.072,4.917,4.564,4.882,4.063,5.095,4.553,4.77,3.744,4.589,4.355,4.802,3.531,4.261,3.894,4.493,3.931,4.885,5.615,4.486,3.401,4.18,3.623,3.702,2.768,3.524,2.97,3.284,2.478
   Research and Developent,8.829,8.198,7.917,7.544,8.056,7.653,7.142,6.659,6.739,6.984,6.844,6.628,6.849,6.306,5.758,5.599,5.687,5.204,4.899,4.926,5.214,4.887,4.603,4.565,4.513,4.316,4.07,3.977,3.933,3.715,3.504,3.574,3.514,3.355,3.062,3.106,3.146,2.98,2.9,2.962,3.094,2.984,2.903,3.065,3.123,2.743,2.748,2.767,2.783,2.64,2.528,2.46,2.594,2.517,2.371,2.329,2.393,2.269,2.185,2.196,2.35,2.22,2.079,2.065,2.225,2.212,2.29,2.283,2.407,2.035,1.885,1.837,1.948,1.75,1.637,1.786,1.861,1.617,1.591,1.515
   Other Incoe and Expenses,-1.864,-1.013,-1.165,-683,-527,-486,-169,-137,-61,-93,-38,-31,-23,-11,10,6,22,6,70,0,0,48,-118,119,-121,-32,-11,-14,-61,-21,8,-59,-24,-49,-183,-35,-39,-58,-21,-103,4,-35,-208,-34,-66,-69,-110,81,105,-80,-33,202,-25,-20,-57,-1,0,7,0,-38,-19,-10,46,-3,-50,-439,-249,-72,-1,-185,-51,-154,-9,-12,-11,-9,-317,-42,-37,-12
Net Interest Incoe,202,414,-256,407,-126,-351,-176,532,535,414,-18,110,19,-113,263,283,283,192,372,254,36,-104,322,-93,321,184,148,280,362,387,506,341,301,435,321,165,372,-103,-23,-142,346,53,308,95,185,68,49,29,23,93,72,114,192,9,302,104,148,309,332,152,113,178,324,286,205,51,-52,64,290,705,418,521,304,394,344,576,694,469,517,518
Net Incoe efore Taxes,32.616,31.377,29.365,30.269,27.25,26.727,26.526,27.284,24.727,22.673,20.339,21.572,20.487,20.19,22.515,20.524,19.405,17.236,18.337,16.124,13.422,12.843,14.085,12.686,12.596,10.486,10.385,10.221,10.68,8.641,9.169,7.984,7.958,7.094,8.022,6.827,9.235,5.036,5.855,5.513,-1.756,6.517,7.85,5.896,6.577,6.957,7.878,6.408,6.145,7.603,7.77,5.534,359,6.363,8.239,7.306,6.319,6.025,8.497,7.23,6.024,5.341,8.883,4.765,4.142,4.05,5.638,5.991,5.968,4.81,6.82,6.216,4.284,6.971,3.805,5.041,4.258,4.315,5.137,4.552
Provision for Incoe Taxes,5.383,5.553,5.257,5.602,5.214,4.788,4.656,4.993,4.646,4.374,3.914,4.016,3.747,3.462,3.75,19,2.947,1.779,2.874,2.231,2.22,2.091,2.436,2.008,-591,1.677,1.808,1.397,1.907,1.217,1.671,1.408,-111,1.608,1.755,1.16,2.372,1.28,837,611,1.439,1.532,1.987,1.356,1.965,1.297,1.32,1.164,1.18,1.548,1.393,1.068,851,1.255,1.615,1.568,445,793,1.863,1.82,1.506,1.335,2.221,1.191,1.097,1.073,1.464,1.618,1.671,422,2.113,1.927,1.249,2.045,1.179,1.563,1.43,1.338,1.484,1.411
